config_id,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
0,1735.6999999999289,-4277.800000000161,11732.09999999981,-4859.300000000212,11427.899999999885,-17258.300000000145,9771.499999999878,4863.299999999776,-5043.10000000014,1363.3999999999105,35.199999999827014,8996.999999999935,-3356.7000000001826,-3702.0000000001346,-1409.3000000001894,-5005.900000000179,3778.3999999998287,-5575.80000000014,-3281.900000000155,8813.199999999892,-4503.700000000185,5773.799999999869,10735.299999999894,-6564.700000000198,-6758.300000000122,-11421.800000000212,9304.599999999846,10152.099999999837,11054.499999999825,-6808.200000000261,-321.8000000002121,-7975.900000000183,477.79999999984284,695.3999999998359,-19751.500000000124,-12372.600000000148,46.29999999979191,12759.099999999808,9749.299999999812,21178.89999999984,258.9999999997872,5036.499999999751,-16693.500000000175,133.5999999998421,6742.999999999893
1,-843.5000000000628,-2972.7000000001,-2446.900000000119,-4561.900000000196,6019.999999999845,-2227.000000000203,5479.499999999894,-2521.5000000001737,-10250.500000000171,425.59999999982665,-1240.200000000118,10748.499999999898,-4261.70000000011,-568.9000000000988,8407.399999999892,664.9999999998272,-2258.400000000097,-5105.600000000163,-57.10000000015043,1581.2999999998965,-4228.900000000203,-1565.3000000001157,-2558.8000000001102,546.4999999998781,3194.8999999998705,-3636.5000000001373,6842.199999999866,-9158.100000000104,8993.299999999863,-1436.8000000001302,1588.9999999998963,-11576.200000000108,-16043.800000000147,4388.29999999989,2088.2999999998447,4065.0999999998476,-276.60000000014406,140.89999999987413,-3329.7000000001844,563.6999999999261,-3673.0000000000928,-2857.600000000184,-8574.000000000115,-2608.600000000115,-7322.200000000066
2,236.1999999999398,3898.999999999887,12201.199999999859,-9751.100000000224,12788.699999999835,-13004.800000000138,-582.0000000001528,-320.50000000019736,-6542.6000000001295,5732.499999999823,259.29999999987103,5770.699999999874,-5919.500000000198,-6385.400000000163,9877.09999999986,-2051.800000000185,-360.10000000012496,-1703.6000000001422,-1674.2000000002008,6648.199999999883,-2729.4000000002143,4011.79999999988,7107.0999999999,-2030.6000000001404,-5258.800000000133,-2137.0000000001255,6305.599999999868,2344.399999999814,12315.699999999879,-7166.800000000148,7308.699999999817,-5388.600000000133,-10045.80000000019,3795.399999999836,-4052.9000000001815,352.9999999998836,-2420.6000000001495,2708.799999999792,-1830.2000000001954,9560.69999999986,-2740.000000000191,-1396.7000000002372,-9867.200000000139,-2831.8000000001575,-4323.200000000088
3,655.9999999999263,-2220.5000000001064,5650.599999999895,-4401.200000000176,5020.199999999863,-17955.200000000106,9771.499999999878,4648.399999999833,-5485.300000000143,1363.3999999999105,3629.1999999999007,7497.499999999945,1530.099999999834,1470.2999999998838,3175.5999999998494,-4245.800000000145,2981.3999999998487,-6338.600000000133,-4737.2000000001435,8813.199999999892,-56.00000000017644,4274.29999999988,4836.099999999897,-1106.5000000001419,-4117.100000000096,-10174.900000000162,11350.399999999854,9481.199999999853,13815.199999999868,-5454.400000000123,-858.100000000195,-3396.200000000181,-1021.7000000001462,3972.399999999834,-12110.800000000108,-17020.200000000204,2561.6999999997915,15511.599999999817,10430.799999999863,15180.899999999883,-4239.50000000018,2578.6999999998443,-16330.300000000125,133.5999999998421,10496.499999999924
4,-843.5000000000628,-1446.1000000000695,-1090.6000000000176,-2017.9000000000997,3791.6999999999007,-4116.50000000011,4772.499999999945,2329.9999999999045,-8078.900000000135,2495.399999999927,-3561.6000000000668,9248.999999999909,-2382.2000000001026,2033.5999999999558,2915.399999999954,-850.6000000001222,-3055.400000000077,-2367.500000000109,-1333.9000000000851,2344.599999999923,-3229.400000000146,3243.5999999999467,1297.4999999999682,5823.69999999994,3135.699999999906,-1009.1000000001031,7497.499999999945,-8758.100000000104,3318.6999999999443,-4435.800000000108,-865.2000000000498,-6817.700000000104,-7440.300000000116,5584.69999999993,-910.7000000001335,2531.199999999899,4842.099999999891,6383.499999999913,-119.80000000012296,4684.39999999996,-6672.000000000071,-381.7000000000917,-5211.800000000085,-2608.600000000115,0.0
5,655.9999999999263,380.5999999998903,6753.8999999999305,-7400.200000000154,6519.6999999998525,-11947.100000000068,4772.499999999945,149.89999999986594,-6542.6000000001295,5494.399999999905,-2062.1000000000777,7460.299999999893,-1032.7000000001817,-3782.900000000109,5378.599999999892,191.69999999987795,342.39999999988413,-868.00000000012,-4629.000000000178,7411.49999999991,-3229.400000000146,6242.599999999925,8996.999999999935,6246.299999999906,-4938.400000000161,-1009.1000000001031,6851.899999999887,238.89999999983047,6317.6999999999225,-8666.300000000138,5272.899999999845,-6395.200000000159,-2941.8000000001484,4991.799999999876,2088.2999999998447,-5794.100000000162,4244.39999999986,11013.09999999985,1379.6999999998661,10682.399999999916,-5739.000000000169,-420.3000000001339,-8004.500000000098,-2831.8000000001575,2998.999999999978
6,6379.299999999944,457.7999999998383,14198.599999999897,-4991.000000000145,635.8999999999241,-13205.000000000087,12014.499999999907,-6740.200000000141,369.49999999987995,-1414.7000000001071,-1368.5000000001082,-2280.500000000052,4465.599999999904,-10607.600000000162,106.5999999998212,-5419.900000000075,2775.3999999998996,-8757.600000000115,-180.00000000006366,7218.09999999989,7680.999999999813,6275.299999999902,11900.899999999932,-1054.600000000164,3360.2999999999156,-10650.500000000147,10341.299999999796,12653.59999999987,-10793.100000000095,1137.1999999999844,-30895.700000000306,2622.3999999997886,7436.899999999923,-2387.900000000127,-1018.7000000001262,-13114.80000000006,-5488.600000000133,15703.199999999879,3261.5999999998166,30470.79999999983,10119.799999999805,655.699999999888,-7194.000000000187,8103.0999999998585,11243.499999999904
7,3879.7999999999547,-1972.7000000000999,1450.3999999998769,-7327.000000000203,-1957.6000000001159,-2262.7000000002454,4558.899999999903,-2676.7000000001417,-9250.500000000171,3929.199999999878,-4325.700000000097,5069.599999999946,5770.199999999932,2372.4999999999227,4855.699999999865,-637.8000000001293,-4201.500000000124,2323.599999999874,3320.9999999999354,608.1999999998743,-3228.9000000002034,-6801.200000000131,-2352.600000000075,4361.299999999892,-272.800000000052,-757.8000000001566,8567.699999999923,-11996.600000000126,2000.2999999998792,-2355.6000000001404,1124.0999999998621,-9576.200000000108,-15043.800000000147,9730.799999999908,7812.699999999859,8823.699999999872,-1779.0000000001328,2641.399999999885,-3070.600000000195,-3643.900000000076,1687.2999999999138,2040.199999999868,-3074.5000000001255,5860.3999999998905,-7322.200000000066
8,3879.7999999999547,8898.999999999887,22929.599999999915,-8730.40000000019,7536.499999999933,-12721.900000000187,2334.3999999998687,-2677.100000000155,-1687.8000000001066,6957.499999999845,-7824.900000000139,3663.899999999876,4711.599999999885,-5508.000000000129,9607.199999999852,1076.4999999998963,2062.299999999891,2323.599999999874,6059.199999999942,7409.499999999912,-1952.8000000002066,5708.199999999874,8108.099999999922,1479.4999999998936,860.7999999999265,-2829.200000000128,2609.9999999999,3979.3999999998505,-4438.3000000002085,-5628.400000000056,-21970.400000000245,-3873.4000000001743,-6597.400000000152,10486.699999999882,1510.5999999998858,6204.799999999932,-6072.500000000082,11650.89999999982,-571.1000000002059,11353.099999999858,7620.299999999816,-9818.20000000016,-3847.900000000118,6637.199999999848,-2323.200000000088
9,3879.7999999999547,5880.099999999879,4975.299999999925,-4991.000000000145,-2002.3000000001048,-13205.000000000087,12014.499999999907,6329.9999999999045,369.49999999987995,-1414.7000000001071,-3883.800000000133,4998.999999999978,6345.099999999911,-2774.20000000011,7190.999999999849,-5419.900000000075,3477.8999999999087,1728.0999999999267,-2092.900000000145,8883.099999999944,-718.6000000001059,6275.299999999902,4837.0999999999185,-5056.700000000069,-5148.4000000001515,-3527.600000000143,11771.599999999875,10982.699999999886,-10793.100000000095,-8253.500000000031,-23866.800000000287,4103.299999999808,7436.899999999923,-2387.900000000127,7621.999999999889,-13114.80000000006,1675.099999999884,15064.899999999852,7942.099999999846,24994.99999999989,806.3999999998032,-1843.8000000001011,-11330.300000000125,5603.599999999869,14996.999999999935
10,1380.2999999999656,-446.1000000000695,806.699999999978,-3283.5000000001173,2774.0999999999303,-6152.200000000153,4723.899999999935,3830.4999999999154,-7078.900000000135,2995.899999999938,-5061.100000000056,5069.599999999946,3270.6999999999425,2692.8999999999405,1648.9999999999327,1533.899999999926,-3762.8000000001066,3159.199999999896,737.2999999999365,2845.099999999934,-2229.400000000146,3744.0999999999576,-3923.7000000000307,7757.399999999916,-3307.700000000068,990.8999999998741,7498.499999999967,-8758.100000000104,7318.699999999944,-7354.600000000119,236.09999999994216,-5817.700000000104,-9503.900000000112,10584.69999999993,2089.2999999998665,5289.799999999923,5839.199999999892,5066.899999999896,-860.7000000001335,7498.499999999967,-7626.100000000088,9997.999999999956,-2211.8000000000848,3360.8999999999014,0.0
11,1380.2999999999656,3380.5999999998903,10341.49999999995,-6837.600000000157,9859.299999999916,-12664.200000000119,4723.899999999935,150.89999999988777,-1687.8000000001066,2716.2999999998874,-8560.300000000097,4532.899999999904,6610.999999999899,-3846.900000000096,8393.99999999989,4059.399999999914,2764.7999999999,3159.199999999896,-3057.3000000001457,8883.099999999944,-2229.400000000146,8743.099999999937,5276.2999999999465,10256.899999999905,-2174.1000000000895,990.8999999998741,4040.299999999934,3739.3999999998414,4658.799999999883,-5628.400000000056,-17441.00000000021,-3395.200000000159,-2754.3000000001484,3987.299999999914,4427.899999999909,3705.299999999943,6356.79999999993,15064.899999999852,1638.7999999998556,17496.499999999924,-1693.100000000186,-6842.800000000079,-5484.700000000066,4137.699999999859,4998.999999999978
12,-2528.200000000038,-6687.600000000157,-9455.200000000128,-2651.3000000001284,4043.2999999999765,-14115.40000000009,3135.899999999947,138.1999999998925,7998.999999999978,-7629.400000000055,2130.29999999992,3999.499999999989,10977.399999999943,1543.799999999851,13206.199999999968,-3919.900000000075,682.999999999879,-9974.50000000008,-519.3000000000438,1252.3999999999432,-2940.6000000000176,7457.699999999932,3999.499999999989,-556.7000000000689,-4616.100000000074,-10421.300000000178,12816.399999999863,19168.89999999994,-12962.600000000066,-9128.300000000036,-30803.400000000285,6899.999999999864,9874.299999999903,8387.699999999904,-9178.200000000152,-11143.30000000009,-5987.600000000111,15704.699999999912,10491.299999999956,47993.99999999987,6616.299999999774,2177.699999999959,-14226.200000000108,4067.299999999841,12244.499999999925
13,-2528.200000000038,-472.70000000009986,5053.099999999881,-4327.000000000203,3848.999999999887,218.99999999995998,5059.399999999914,2191.099999999892,-1928.7000000001171,9237.599999999908,-681.3000000000784,5570.099999999957,594.2999999999302,2338.399999999956,-881.800000000112,3031.199999999899,-2701.5000000001237,-3518.500000000131,2321.4999999999463,4890.399999999886,-1728.9000000002034,-6801.200000000131,-2420.900000000097,4861.799999999903,-174.90000000007058,-1389.1000000000986,10257.399999999916,-7997.100000000137,-2419.6000000001277,-4048.200000000088,2689.8999999998523,-4668.600000000106,-9936.800000000085,-216.1000000000513,-641.8000000001484,10533.399999999938,10521.099999999888,-3610.2000000001226,-1070.100000000184,-4643.400000000065,-5454.100000000153,10523.099999999886,-3808.3000000000993,-5999.700000000075,-7322.200000000066
