config_id,htf_pivot_len,ltf_pivot_len,sl,sl_buffer_pips,tp_kind,tp_mode,tp_pips,trend_filter,max_sl_atr,n_trades,net_pips,win_rate,profit_factor,avg_pips,max_drawdown_pips,monthly_sharpe,months,tp_rate,long_share,tp_r_multiple,tp_atr_mult
0,2,1,swing_h4,0,fixed,fixed_pips,1500.0,none,0.0,483,19674.79999999268,0.6708074534161491,1.0420523283761147,40.73457556934302,49638.30000000116,0.04955199691801109,45,0.6708074534161491,0.567287784679089,,
1,2,1,swing_h4,0,fixed,fixed_pips,1500.0,none,5.0,347,-52422.500000005886,0.49855907780979825,0.8319909596089082,-151.07348703171726,54623.800000003874,-0.21735962666644743,45,0.49855907780979825,0.49279538904899134,,
2,2,1,swing_h4,0,fixed,fixed_pips,1500.0,none,7.0,442,708.8999999930747,0.6018099547511312,1.0017780687299012,1.6038461538304858,30155.900000000744,0.002502598008894657,45,0.6018099547511312,0.5248868778280543,,
3,2,1,swing_h4,0,fixed,fixed_pips,1500.0,ema,0.0,411,39561.29999999382,0.6885644768856448,1.102358170933029,96.256204379547,41786.00000000102,0.10970237553725205,45,0.6885644768856448,0.6058394160583942,,
4,2,1,swing_h4,0,fixed,fixed_pips,1500.0,ema,5.0,230,-1330.1000000037457,0.5608695652173913,0.9931772774253919,-5.783043478277155,26911.200000000554,-0.006866438312953704,45,0.5608695652173913,0.5652173913043478,,
5,2,1,swing_h4,0,fixed,fixed_pips,1500.0,ema,7.0,346,34842.999999994616,0.6329479768786127,1.1184812044597132,100.70231213871276,27492.100000000537,0.1371197156605268,45,0.6329479768786127,0.6011560693641619,,
6,2,1,swing_h4,0,fixed,fixed_pips,2500.0,none,0.0,344,54024.99999999441,0.5901162790697675,1.118943041639408,157.04941860463492,55653.90000000102,0.12028337238591841,45,0.5901162790697675,0.5813953488372093,,
7,2,1,swing_h4,0,fixed,fixed_pips,2500.0,none,5.0,293,-13098.90000000535,0.4061433447098976,0.9579404097204822,-44.706143344728154,43028.70000000164,-0.052560834105306355,45,0.4061433447098976,0.4812286689419795,,
8,2,1,swing_h4,0,fixed,fixed_pips,2500.0,none,7.0,341,58587.29999999421,0.530791788856305,1.1486020641902077,171.8102639296018,52537.30000000089,0.16859064390307035,45,0.530791788856305,0.533724340175953,,
9,2,1,swing_h4,0,fixed,fixed_pips,2500.0,ema,0.0,298,68361.09999999504,0.6140939597315436,1.1753375180085983,229.39966442951356,47894.100000000995,0.17324009777701987,45,0.6140939597315436,0.6006711409395973,,
10,2,1,swing_h4,0,fixed,fixed_pips,2500.0,ema,5.0,200,37363.79999999642,0.47,1.188243532935469,186.8189999999821,25792.300000000567,0.1632675688852085,45,0.47,0.555,,
11,2,1,swing_h4,0,fixed,fixed_pips,2500.0,ema,7.0,273,86179.9999999954,0.5677655677655677,1.2856701514137807,315.6776556776388,36593.50000000074,0.2832270108864883,45,0.5677655677655677,0.5860805860805861,,
12,2,1,swing_h4,0,fixed,fixed_pips,4000.0,none,0.0,234,47564.19999999594,0.49572649572649574,1.1135385647328595,203.2658119657946,56694.00000000097,0.08791882560190172,45,0.49572649572649574,0.5769230769230769,,
